ProductNumber,ProductArName,ProductEnName,BrandName,CounrtyEn,PackageVolume,UnitEn,manufactureenglishname,ListedNameEn
2018-0140114-109892,تى تى أو ثيرمال معجون الأسنان,TTO THERMAL TOOTHPASTE,TTO,Turkey,75,Gram (g), Jeomed İlaç ve Sağlık Ürünleri A.Ş,Bin Sina Medical International Co.
2018-0140114-127809,باستا دل كابتانو تبييض أسنان مع بيكروبنات الصوديوم,Pasta Del Capitano Whitening with Baking Soda,PASTA DEL CAPITANO,Italy,75,Milliliter (ml),Farmaceutici Dottor Ciccarelli,National Distribution
2018-0140114-127829,يرو % توث بيست ,ZERO % TOOTHPASTE ,ZERO %,Spain,24,Gram (g),LASCARAY SA,KUWAIT STARS CONTRACTING ESTABLISHMENT
2018-0140114-128022,هيمالايا سينسي معجون أسنان أبيض,HIMALAYA SENSI WHITE HERBAL TOOTHPASTE,HIMALAYA,United Arab Emirates,100,Milliliter (ml),Gulf Centre For Soap and Chemical Industries LLC  ,ARABIAN TRADING SUPPLIES
2016-02-004246,هيلث ويل ايجبت جوى دنت جل,health well egypt joy dent gel,Health Well Egypt,Egypt,50,Gram (g),sina cosmetics&perfumes co,top construction est
2016-0140114-046245,اي ام اي بنكهة النعناع معجون أسنان,AME Peppermint taste toothpaste,AME,China,20,Gram (g),"Yangzhou Soleil Import&Export Co.,Ltd",Tazweed International Company
2017-0140114-071154,فافوري فريش وايت انتي تارتار معجون اسنان,Favori Fresh White Anti tartar tooth paste,Favori ,Turkey,90,Gram (g),YASARLAR KOZMETIK MEDIKAL,color of life medical Est
2017-0140134Code6-071273,فيليبس زووم نايت وايت, Philips Zoom NiteWhite 10% Carbamide Peroxide,فيليبس زووم نايت وايت,United States,6,Prefiiled Trays,".Discus Dental, LLC",Medical and Pharmaceutical Services Co.
2017-0140124-071317,غسيل للفم بالنعناع بارد و الفلورايد قوي للغاية,Beauty Formulas Extra Strength Mouthwash Cool Mint,Beauty Formulas,United Kingdom,500,Milliliter (ml),Drammock International Limlited,Hassan S. Al-Amoudi Trd. Est.
2016-0140124-016541,ناتشر غسول للفم قصور الضيافة ,guest &  conference palaces mouthwash,ناتشر ,Turkey,75,Milliliter (ml),Temko cleaning cosmetic and food indust,ahmed abdullah albar office
2016-0140124-016606,اوراكير موث واش,oracare mouth wash,oracare,Egypt,250,Milliliter (ml),cosmopack for phrmaceutical packaging and cosmetic,torki salem quraini trading est
2019-0140114-161281,كليفرطقم عناية الاسنان,Clever cpllection Dental Kit,Clever cpllection,China,3,Gram (g),I HOTEL GUEST AMENITIES CO. LTD,Integral Hotel Supplies company Co. LTD
2019-0140124-161288,ريسبت فارما غسول ريمنت للفم والاسنان,recipe pharma rement mouth and dental wash,recipe pharma,Egypt,200,Milliliter (ml),Egyptian Cosmetics,mariam adnan saeedi trading est
2019-0140114-161369,معجون أسنان إي مي 17 جرام,A.ME toothpaste 17g,A.ME,China,17,Gram (g),YANGZHOU PENGYOU TOURISM SUPPLIES,alaseel est
2019-0140114-161397,ارت سويت عدة اسنان,ART SUITE Tooth Kit,ART SUITE,China,3,Gram (g),I HOTEL GUEST AMENITIES CO. LTD,Integral Hotel Supplies company Co. LTD
2019-0140114-161398,بلي فو عدة اسنان,Belle Vue Tooth Kit,Belle Vue ,China,3,Gram (g),I HOTEL GUEST AMENITIES CO. LTD,Integral Hotel Supplies company Co. LTD
